x,V
   -2.628000,  -10.682850
   -2.624000,  -10.722679
   -2.620000,  -10.762006
   -2.616000,  -10.800835
   -2.612000,  -10.839167
   -2.608000,  -10.877003
   -2.604000,  -10.914347
   -2.600000,  -10.951200
   -2.596000,  -10.987564
   -2.592000,  -11.023441
   -2.588000,  -11.058833
   -2.584000,  -11.093742
   -2.580000,  -11.128170
   -2.576000,  -11.162118
   -2.572000,  -11.195590
   -2.568000,  -11.228587
   -2.564000,  -11.261111
   -2.560000,  -11.293164
   -2.556000,  -11.324747
   -2.552000,  -11.355863
   -2.548000,  -11.386514
   -2.544000,  -11.416702
   -2.540000,  -11.446429
   -2.536000,  -11.475696
   -2.532000,  -11.504506
   -2.528000,  -11.532860
   -2.524000,  -11.560761
   -2.520000,  -11.588210
   -2.516000,  -11.615209
   -2.512000,  -11.641761
   -2.508000,  -11.667867
   -2.504000,  -11.693530
   -2.500000,  -11.718750
   -2.496000,  -11.743530
   -2.492000,  -11.767873
   -2.488000,  -11.791779
   -2.484000,  -11.815250
   -2.480000,  -11.838290
   -2.476000,  -11.860899
   -2.472000,  -11.883079
   -2.468000,  -11.904833
   -2.464000,  -11.926162
   -2.460000,  -11.947069
   -2.456000,  -11.967554
   -2.452000,  -11.987620
   -2.448000,  -12.007269
   -2.444000,  -12.026503
   -2.440000,  -12.045324
   -2.436000,  -12.063732
   -2.432000,  -12.081731
   -2.428000,  -12.099323
   -2.424000,  -12.116508
   -2.420000,  -12.133290
   -2.416000,  -12.149669
   -2.412000,  -12.165647
   -2.408000,  -12.181228
   -2.404000,  -12.196411
   -2.400000,  -12.211200
   -2.396000,  -12.225596
   -2.392000,  -12.239601
   -2.388000,  -12.253216
   -2.384000,  -12.266444
   -2.380000,  -12.279286
   -2.376000,  -12.291745
   -2.372000,  -12.303822
   -2.368000,  -12.315518
   -2.364000,  -12.326836
   -2.360000,  -12.337778
   -2.356000,  -12.348345
   -2.352000,  -12.358539
   -2.348000,  -12.368362
   -2.344000,  -12.377816
   -2.340000,  -12.386902
   -2.336000,  -12.395623
   -2.332000,  -12.403980
   -2.328000,  -12.411975
   -2.324000,  -12.419609
   -2.320000,  -12.426885
   -2.316000,  -12.433804
   -2.312000,  -12.440369
   -2.308000,  -12.446580
   -2.304000,  -12.452440
   -2.300000,  -12.457950
   -2.296000,  -12.463112
   -2.292000,  -12.467929
   -2.288000,  -12.472401
   -2.284000,  -12.476530
   -2.280000,  -12.480319
   -2.276000,  -12.483768
   -2.272000,  -12.486881
   -2.268000,  -12.489657
   -2.264000,  -12.492100
   -2.260000,  -12.494211
   -2.256000,  -12.495992
   -2.252000,  -12.497444
   -2.248000,  -12.498569
   -2.244000,  -12.499369
   -2.240000,  -12.499845
   -2.236000,  -12.500000
   -2.232000,  -12.499835
   -2.228000,  -12.499351
   -2.224000,  -12.498551
   -2.220000,  -12.497437
   -2.216000,  -12.496009
   -2.212000,  -12.494270
   -2.208000,  -12.492220
   -2.204000,  -12.489863
   -2.200000,  -12.487200
   -2.196000,  -12.484232
   -2.192000,  -12.480961
   -2.188000,  -12.477389
   -2.184000,  -12.473517
   -2.180000,  -12.469347
   -2.176000,  -12.464881
   -2.172000,  -12.460121
   -2.168000,  -12.455067
   -2.164000,  -12.449723
   -2.160000,  -12.444088
   -2.156000,  -12.438166
   -2.152000,  -12.431958
   -2.148000,  -12.425465
   -2.144000,  -12.418689
   -2.140000,  -12.411632
   -2.136000,  -12.404295
   -2.132000,  -12.396680
   -2.128000,  -12.388789
   -2.124000,  -12.380623
   -2.120000,  -12.372184
   -2.116000,  -12.363474
   -2.112000,  -12.354494
   -2.108000,  -12.345245
   -2.104000,  -12.335730
   -2.100000,  -12.325950
